,units
0,15840.0
1,17720.0
2,12710.0
3,10735.0
4,13195.0
5,13140.0
6,17345.0
7,20540.0
8,20170.0
9,15405.0
10,15070.0
11,18535.0
12,19950.0
13,16675.0
14,18865.0
15,11380.0
16,15490.0
17,15755.0
18,20595.0
19,21815.0
20,18600.0
21,16065.0
22,16780.0
23,18840.0
24,
25,
26,
27,
28,14668.0
29,18365.0
30,23050.0
31,24430.0
32,16885.0
33,16060.0
34,14490.0
35,16455.0
36,17620.0
37,16805.0
38,13640.0
39,12100.0
40,13920.0
41,17260.0
42,20450.0
43,25740.0
44,23090.0
45,19295.0
46,17030.0
47,19865.0
48,22125.0
49,18345.0
50,18270.0
51,14430.0
52,15595.0
53,16790.0
54,22755.0
55,24260.0
56,20120.0
57,21795.0
58,22235.0
59,21440.0
60,21670.0
61,14970.0
62,15595.0
63,16285.0
64,18335.0
65,25590.0
66,27815.0
67,24695.0
68,22555.0
69,21115.0
70,21210.0
71,22925.0
72,20128.0
73,
74,
75,
