,units
0,34195.0
1,33665.0
2,24520.0
3,19905.0
4,30745.0
5,26105.0
6,33735.0
7,37615.0
8,33890.0
9,26600.0
10,27080.0
11,36415.0
12,36385.0
13,31050.0
14,37320.0
15,21775.0
16,33205.0
17,31380.0
18,30890.0
19,42000.0
20,34135.0
21,29470.0
22,33565.0
23,39350.0
24,
25,
26,
27,
28,34900.0
29,38425.0
30,47605.0
31,40615.0
32,36720.0
33,33240.0
34,31355.0
35,38315.0
36,37255.0
37,36670.0
38,31825.0
39,29190.0
40,34465.0
41,36290.0
42,48190.0
43,49080.0
44,51835.0
45,40950.0
46,40070.0
47,44510.0
48,47290.0
49,40815.0
50,42810.0
51,30755.0
52,36790.0
53,36900.0
54,52240.0
55,53905.0
56,43480.0
57,49065.0
58,49655.0
59,50290.0
60,57765.0
61,31290.0
62,35775.0
63,37140.0
64,38000.0
65,55935.0
66,59445.0
67,56430.0
68,50780.0
69,49500.0
70,49723.0
71,48350.0
72,42695.0
73,
74,
75,
