,units
0,12860.0
1,12630.0
2,9500.0
3,7765.0
4,12590.0
5,11450.0
6,12850.0
7,13415.0
8,11955.0
9,9230.0
10,9715.0
11,13295.0
12,14040.0
13,11550.0
14,15100.0
15,8800.0
16,13710.0
17,12540.0
18,15620.0
19,15320.0
20,10840.0
21,10425.0
22,12140.0
23,14960.0
24,
25,
26,
27,
28,13545.0
29,14300.0
30,18165.0
31,14975.0
32,11705.0
33,11105.0
34,11965.0
35,38315.0
36,15215.0
37,14315.0
38,12245.0
39,11490.0
40,14000.0
41,13860.0
42,18295.0
43,18350.0
44,19090.0
45,15105.0
46,15300.0
47,17865.0
48,19895.0
49,15400.0
50,16700.0
51,12025.0
52,14425.0
53,14285.0
54,20220.0
55,20095.0
56,16665.0
57,18760.0
58,19265.0
59,19160.0
60,19160.0
61,22970.0
62,11270.0
63,13850.0
64,14855.0
65,14470.0
66,21555.0
67,22615.0
68,19685.0
69,18585.0
70,20210.0
71,19263.0
72,18728.0
73,15515.0
74,4932.0
75,12230.0
