,units
0,10705.0
1,11885.0
2,9150.0
3,7785.0
4,10935.0
5,9965.0
6,12895.0
7,15240.0
8,14840.0
9,10370.0
10,9820.0
11,12790.0
12,14465.0
13,12495.0
14,14095.0
15,9315.0
16,12550.0
17,11890.0
18,15080.0
19,15990.0
20,12585.0
21,11370.0
22,12145.0
23,13655.0
24,
25,
26,
27,
28,12355.0
29,13930.0
30,17265.0
31,17940.0
32,12950.0
33,11740.0
34,10365.0
35,12745.0
36,13240.0
37,13230.0
38,11095.0
39,10275.0
40,12970.0
41,14430.0
42,17185.0
43,20345.0
44,17995.0
45,15165.0
46,13525.0
47,15910.0
48,17595.0
49,15270.0
50,15770.0
51,12005.0
52,13980.0
53,14220.0
54,18665.0
55,17380.0
56,15420.0
57,16485.0
58,17440.0
59,17960.0
60,12485.0
61,14825.0
62,15140.0
63,15540.0
64,20935.0
65,22570.0
66,20380.0
67,17140.0
68,16710.0
69,16855.0
70,17868.0
71,15410.0
72,
73,
74,
75,
