,predicted_units
2019-01-31,103259.93
2019-02-28,107065.6
2019-03-31,129177.05
2019-04-30,128589.97
2019-05-31,120226.086
2019-06-30,114413.1
2019-07-31,116309.6
2019-08-31,116977.445
2019-09-30,106912.73
2019-10-31,89552.1
2019-11-30,101646.35
2019-12-31,103702.055
2020-01-31,104910.586
2020-02-29,113859.414
2020-03-31,125719.02
2020-04-30,122025.125
2020-05-31,116133.61
2020-06-30,113701.31
2020-07-31,116913.26
2020-08-31,116790.59
2020-09-30,92256.52
2020-10-31,96713.07
2020-11-30,111630.26
2020-12-31,108628.375
2021-01-31,108311.766
2021-02-28,116186.76
2021-03-31,119950.71
2021-04-30,116766.49
2021-05-31,115543.45
2021-06-30,118333.57
2021-07-31,118355.8
2021-08-31,91917.1
2021-09-30,100878.16
2021-10-31,106566.74
2021-11-30,123400.016
2021-12-31,117708.26
2022-01-31,115569.59
2022-02-28,118542.92
2022-03-31,119541.14
2022-04-30,120509.07
2022-05-31,121675.12
2022-06-30,117636.34
2022-07-31,90583.0
2022-08-31,100574.516
2022-09-30,106152.88
2022-10-31,119056.734
2022-11-30,126909.68
2022-12-31,119418.08
2023-01-31,115908.84
2023-02-28,115526.47
2023-03-31,116079.04
2023-04-30,118328.92
2023-05-31,113356.06
2023-06-30,89680.57
2023-07-31,98425.15
2023-08-31,104582.305
2023-09-30,113161.195
2023-10-31,123057.25
2023-11-30,123323.05
2023-12-31,116402.766
2024-01-31,113395.41
2024-02-29,113791.84
2024-03-31,116579.49
2024-04-30,113943.586
2024-05-31,90371.63
2024-06-30,96257.05
2024-07-31,102425.97
2024-08-31,109847.37
2024-09-30,117784.945
2024-10-31,121016.266
2024-11-30,117782.164
2024-12-31,113292.88
