,units
2013-09-30,73600
2013-10-31,75900
2013-11-30,55880
2013-12-31,46190
2014-01-31,67465
2014-02-28,60660
2014-03-31,76825
2014-04-30,86810
2014-05-31,80855
2014-06-30,61605
2014-07-31,61685
2014-08-31,81035
2014-09-30,84840
2014-10-31,71770
2014-11-30,85380
2014-12-31,51270
2015-01-31,74955
2015-02-28,71565
2015-03-31,82185
2015-04-30,95125
2015-05-31,76160
2015-06-30,67330
2015-07-31,74630
2015-08-31,86805
2015-09-30,93215
2015-10-31,91450
2015-11-30,69470
2015-12-31,58910
2016-01-31,75480
2016-02-29,85020
2016-03-31,108085
2016-04-30,97960
2016-05-31,78260
2016-06-30,72145
2016-07-31,68175
2016-08-31,82495
2016-09-30,83530
2016-10-31,81020
2016-11-30,68805
2016-12-31,62965
2017-01-31,75415
2017-02-28,81840
2017-03-31,104120
2017-04-30,113515
2017-05-31,112010
2017-06-30,90515
2017-07-31,85925
2017-08-31,98150
2017-09-30,106905
2017-10-31,89830
2017-11-30,93550
2017-12-31,69215
2018-01-31,80790
2018-02-28,82795
2018-03-31,113880
2018-04-30,121745
2018-05-31,115640
2018-06-30,95685
2018-07-31,106105
2018-08-31,108595
2018-09-30,108850
2018-10-31,125325
2018-11-30,70015
2018-12-31,80045
2019-01-31,83420
2019-02-28,86345
2019-03-31,124015
2019-04-30,132445
2019-05-31,121196
2019-06-30,109555
2019-07-31,107535
2019-08-31,107056
2019-09-30,107870
2019-10-31,93748
2019-11-30,96437
2019-12-31,74238
